id,Time(millis),Temp1,Temp2,HIndex
658,4670.0,22.73,24.0,23.55
659,4670.0,22.73,24.0,23.55
660,4695.0,22.73,24.0,23.55
661,4695.0,22.73,24.0,23.55
662,4695.0,22.73,24.0,23.55
663,4695.0,22.73,24.0,23.55
664,4720.0,22.73,24.0,23.55
665,4720.0,22.73,24.0,23.55
666,4720.0,22.73,24.0,23.55
667,4720.0,22.73,24.0,23.55
668,4745.0,22.73,24.0,23.55
669,4745.0,22.73,24.0,23.55
670,4745.0,22.73,24.0,23.55
671,4745.0,22.73,24.0,23.55
672,4770.0,22.73,24.0,23.55
673,4770.0,22.73,24.0,23.55
674,4770.0,22.73,24.0,23.55
675,4770.0,22.73,24.0,23.55
676,4795.0,22.73,24.0,23.55
677,4795.0,22.73,24.0,23.55
678,4795.0,22.73,24.0,23.55
679,4795.0,22.73,24.0,23.55
680,4819.0,22.83,24.0,23.55
681,4819.0,22.83,24.0,23.55
682,4819.0,22.83,24.0,23.55
683,4819.0,22.83,24.0,23.55
684,4845.0,22.73,24.0,23.55
685,4845.0,22.73,24.0,23.55
686,4845.0,22.73,24.0,23.55
687,4845.0,22.73,24.0,23.55
688,4870.0,22.73,24.0,23.55
689,4870.0,22.73,24.0,23.55
690,4870.0,22.73,24.0,23.55
691,4870.0,22.73,24.0,23.55
692,4894.0,22.73,24.0,23.55
693,4894.0,22.73,24.0,23.55
694,4894.0,22.73,24.0,23.55
695,4894.0,22.73,24.0,23.55
696,4920.0,22.73,24.0,23.55
697,4920.0,22.73,24.0,23.55
698,4920.0,22.73,24.0,23.55
699,4920.0,22.73,24.0,23.55
700,4944.0,22.73,24.0,23.55
701,4944.0,22.73,24.0,23.55
702,4944.0,22.73,24.0,23.55
703,4944.0,22.73,24.0,23.55
704,4970.0,22.83,24.0,23.55
705,4970.0,22.83,24.0,23.55
706,4970.0,22.83,24.0,23.55
707,4970.0,22.83,24.0,23.55
708,4995.0,22.73,24.0,23.55
709,4995.0,22.73,24.0,23.55
710,4995.0,22.73,24.0,23.55
711,4995.0,22.73,24.0,23.55
712,5019.0,22.83,24.0,23.55
713,5019.0,22.83,24.0,23.55
714,5019.0,22.83,24.0,23.55
715,5019.0,22.83,24.0,23.55
716,5045.0,22.73,24.0,23.55
717,5045.0,22.73,24.0,23.55
718,5045.0,22.73,24.0,23.55
719,5045.0,22.73,24.0,23.55
720,5069.0,22.73,24.0,23.55
721,5069.0,22.73,24.0,23.55
722,5069.0,22.73,24.0,23.55
723,5069.0,22.73,24.0,23.55
724,5094.0,22.63,24.0,23.55
725,5094.0,22.63,24.0,23.55
726,5094.0,22.63,24.0,23.55
727,5094.0,22.63,24.0,23.55
728,5120.0,22.73,24.0,23.55
729,5120.0,22.73,24.0,23.55
730,5120.0,22.73,24.0,23.55
731,5120.0,22.73,24.0,23.55
732,5144.0,22.73,24.0,23.55
733,5144.0,22.73,24.0,23.55
734,5144.0,22.73,24.0,23.55
735,5144.0,22.73,24.0,23.55
736,5170.0,22.73,24.0,23.55
737,5170.0,22.73,24.0,23.55
738,5170.0,22.73,24.0,23.55
739,5170.0,22.73,24.0,23.55
740,5194.0,22.73,24.0,23.55
741,5194.0,22.73,24.0,23.55
742,5194.0,22.73,24.0,23.55
743,5194.0,22.73,24.0,23.55
744,5219.0,22.83,24.0,23.55
745,5219.0,22.83,24.0,23.55
746,5219.0,22.83,24.0,23.55
747,5219.0,22.83,24.0,23.55
748,5244.0,22.73,24.0,23.55
749,5244.0,22.73,24.0,23.55
750,5244.0,22.73,24.0,23.55
751,5244.0,22.73,24.0,23.55
752,5269.0,22.63,24.0,23.55
753,5269.0,22.63,24.0,23.55
754,5269.0,22.63,24.0,23.55
755,5269.0,22.63,24.0,23.55
756,5294.0,22.73,24.0,23.55
757,5294.0,22.73,24.0,23.55
758,5294.0,22.73,24.0,23.55
759,5294.0,22.73,24.0,23.55
760,5319.0,22.73,24.0,23.55
761,5319.0,22.73,24.0,23.55
762,5319.0,22.73,24.0,23.55
763,5319.0,22.73,24.0,23.55
764,5344.0,22.73,24.0,23.55
765,5344.0,22.73,24.0,23.55
766,5344.0,22.73,24.0,23.55
767,5344.0,22.73,24.0,23.55
768,5369.0,22.73,24.0,23.55
769,5369.0,22.73,24.0,23.55
770,5369.0,22.73,24.0,23.55
771,5369.0,22.73,24.0,23.55
772,5394.0,22.73,24.0,23.55
773,5394.0,22.73,24.0,23.55
774,5394.0,22.73,24.0,23.55
775,5394.0,22.73,24.0,23.55
776,5419.0,22.83,24.0,23.55
777,5419.0,22.83,24.0,23.55
778,5419.0,22.83,24.0,23.55
779,5419.0,22.83,24.0,23.55
780,5444.0,22.83,24.0,23.55
781,5444.0,22.83,24.0,23.55
782,5444.0,22.83,24.0,23.55
783,5444.0,22.83,24.0,23.55
784,5469.0,22.73,24.0,23.55
785,5469.0,22.73,24.0,23.55
786,5469.0,22.73,24.0,23.55
787,5469.0,22.73,24.0,23.55
788,5493.0,22.73,24.0,23.55
789,5493.0,22.73,24.0,23.55
790,5493.0,22.73,24.0,23.55
791,5493.0,22.73,24.0,23.55
792,5519.0,22.83,24.0,23.55
793,5519.0,22.83,24.0,23.55
794,5519.0,22.83,24.0,23.55
795,5519.0,22.83,24.0,23.55
796,5543.0,22.83,24.0,23.55
797,5543.0,22.83,24.0,23.55
798,5543.0,22.83,24.0,23.55
799,5543.0,22.83,24.0,23.55
800,5569.0,22.73,24.0,23.55
801,5569.0,22.73,24.0,23.55
802,5569.0,22.73,24.0,23.55
803,5569.0,22.73,24.0,23.55
804,5594.0,22.73,24.0,23.55
805,5594.0,22.73,24.0,23.55
806,5594.0,22.73,24.0,23.55
807,5594.0,22.73,24.0,23.55
808,5618.0,22.73,24.0,23.55
809,5618.0,22.73,24.0,23.55
810,5618.0,22.73,24.0,23.55
811,5618.0,22.73,24.0,23.55
812,5644.0,22.73,24.0,23.55
813,5644.0,22.73,24.0,23.55
814,5644.0,22.73,24.0,23.55
815,5644.0,22.73,24.0,23.55
816,5668.0,22.73,24.0,23.55
817,5668.0,22.73,24.0,23.55
818,5668.0,22.73,24.0,23.55
819,5668.0,22.73,24.0,23.55
820,5693.0,22.73,24.0,23.55
821,5693.0,22.73,24.0,23.55
822,5693.0,22.73,24.0,23.55
823,5693.0,22.73,24.0,23.55
824,5719.0,22.73,24.0,23.55
825,5719.0,22.73,24.0,23.55
826,5719.0,22.73,24.0,23.55
827,5719.0,22.73,24.0,23.55
828,5743.0,22.83,24.0,23.55
829,5743.0,22.83,24.0,23.55
830,5743.0,22.83,24.0,23.55
831,5743.0,22.83,24.0,23.55
832,5769.0,22.83,24.0,23.55
833,5769.0,22.83,24.0,23.55
834,5769.0,22.83,24.0,23.55
835,5769.0,22.83,24.0,23.55
836,5793.0,22.73,24.0,23.55
837,5793.0,22.73,24.0,23.55
838,5793.0,22.73,24.0,23.55
839,5793.0,22.73,24.0,23.55
840,5818.0,22.73,24.0,23.55
841,5818.0,22.73,24.0,23.55
842,5818.0,22.73,24.0,23.55
843,5818.0,22.73,24.0,23.55
844,5843.0,22.73,24.0,23.55
845,5843.0,22.73,24.0,23.55
846,5843.0,22.73,24.0,23.55
847,5843.0,22.73,24.0,23.55
848,5868.0,22.73,24.0,23.55
849,5868.0,22.73,24.0,23.55
850,5868.0,22.73,24.0,23.55
851,5868.0,22.73,24.0,23.55
852,5893.0,22.83,24.0,23.55
853,5893.0,22.83,24.0,23.55
854,5893.0,22.83,24.0,23.55
855,5893.0,22.83,24.0,23.55
856,5918.0,22.83,24.0,23.55
857,5918.0,22.83,24.0,23.55
858,5918.0,22.83,24.0,23.55
859,5918.0,22.83,24.0,23.55
860,5943.0,22.83,24.0,23.55
861,5943.0,22.83,24.0,23.55
862,5943.0,22.83,24.0,23.55
863,5943.0,22.83,24.0,23.55
864,5968.0,22.73,24.0,23.55
865,5968.0,22.73,24.0,23.55
866,5968.0,22.73,24.0,23.55
867,5968.0,22.73,24.0,23.55
868,5993.0,22.73,24.0,23.55
869,5993.0,22.73,24.0,23.55
870,5993.0,22.73,24.0,23.55
871,5993.0,22.73,24.0,23.55
872,6289.0,21.84,24.0,23.55
873,6289.0,21.84,24.0,23.55
874,6289.0,21.84,24.0,23.55
875,6289.0,21.84,24.0,23.55
876,6291.0,22.73,24.0,23.55
877,6291.0,22.73,24.0,23.55
878,6291.0,22.73,24.0,23.55
879,6291.0,22.73,24.0,23.55
880,6293.0,22.73,24.0,23.55
881,6293.0,22.73,24.0,23.55
882,6293.0,22.73,24.0,23.55
883,6293.0,22.73,24.0,23.55
884,6297.0,22.73,24.0,23.55
885,6297.0,22.73,24.0,23.55
886,6297.0,22.73,24.0,23.55
887,6297.0,22.73,24.0,23.55
888,6322.0,22.73,24.0,23.55
889,6322.0,22.73,24.0,23.55
890,6322.0,22.73,24.0,23.55
891,6322.0,22.73,24.0,23.55
892,6347.0,22.83,24.0,23.55
893,6347.0,22.83,24.0,23.55
894,6347.0,22.83,24.0,23.55
895,6347.0,22.83,24.0,23.55
896,6372.0,22.73,24.0,23.55
897,6372.0,22.73,24.0,23.55
898,6372.0,22.73,24.0,23.55
899,6372.0,22.73,24.0,23.55
900,6396.0,22.83,24.0,23.55
901,6396.0,22.83,24.0,23.55
902,6396.0,22.83,24.0,23.55
903,6396.0,22.83,24.0,23.55
904,6422.0,22.73,24.0,23.55
905,6422.0,22.73,24.0,23.55
906,6422.0,22.73,24.0,23.55
907,6422.0,22.73,24.0,23.55
908,6447.0,22.73,24.0,23.55
909,6447.0,22.73,24.0,23.55
910,6447.0,22.73,24.0,23.55
911,6447.0,22.73,24.0,23.55
912,6471.0,22.73,24.0,23.55
913,6471.0,22.73,24.0,23.55
914,6471.0,22.73,24.0,23.55
915,6471.0,22.73,24.0,23.55
916,6497.0,22.73,24.0,23.55
917,6497.0,22.73,24.0,23.55
918,6497.0,22.73,24.0,23.55
919,6497.0,22.73,24.0,23.55
920,6521.0,22.63,24.0,23.55
921,6521.0,22.63,24.0,23.55
922,6521.0,22.63,24.0,23.55
923,6521.0,22.63,24.0,23.55
924,6547.0,22.73,24.0,23.55
925,6547.0,22.73,24.0,23.55
926,6547.0,22.73,24.0,23.55
927,6547.0,22.73,24.0,23.55
928,6572.0,22.73,24.0,23.55
929,6572.0,22.73,24.0,23.55
930,6572.0,22.73,24.0,23.55
931,6572.0,22.73,24.0,23.55
932,6596.0,22.83,24.0,23.55
933,6596.0,22.83,24.0,23.55
934,6596.0,22.83,24.0,23.55
935,6596.0,22.83,24.0,23.55
936,6622.0,22.73,24.0,23.55
937,6622.0,22.73,24.0,23.55
938,6622.0,22.73,24.0,23.55
939,6622.0,22.73,24.0,23.55
940,6646.0,22.63,24.0,23.55
941,6646.0,22.63,24.0,23.55
942,6646.0,22.63,24.0,23.55
943,6646.0,22.63,24.0,23.55
944,6671.0,22.73,24.0,23.55
945,6671.0,22.73,24.0,23.55
946,6671.0,22.73,24.0,23.55
947,6671.0,22.73,24.0,23.55
948,6696.0,22.73,24.0,23.55
949,6696.0,22.73,24.0,23.55
950,6696.0,22.73,24.0,23.55
951,6696.0,22.73,24.0,23.55
952,6721.0,22.73,24.0,23.55
953,6721.0,22.73,24.0,23.55
